Model,Emb_Type,Accuracy,TPR,TNR,Human_F1,AI_F1,F1
claude,code,0.9696,0.9636,0.9758,0.9681,0.971,0.9695
claude,ast,0.9817,0.9879,0.9758,0.9818,0.9816,0.9817
claude,combined,0.9757,0.9636,0.9879,0.9745,0.9768,0.9756
gpt4o,code,0.9787,0.9697,0.9877,0.9781,0.9793,0.9787
gpt4o,ast,0.9635,0.9576,0.9695,0.9629,0.9641,0.9635
gpt4o,combined,0.9879,0.9758,1.0,0.9874,0.9883,0.9879
gemini15,code,0.9847,0.9879,0.9816,0.9848,0.9847,0.9847
gemini15,ast,0.9818,0.9879,0.9756,0.982,0.9815,0.9818
gemini15,combined,0.9939,0.9939,0.9939,0.9939,0.9939,0.9939
